hog_input_img,rotXdeg,rotYdeg,rotZdeg,distX,distY,distZ,f
hog_input_105,5,90,125,450,83,850,3400
hog_input_106,5,90,125,450,83,850,3500
hog_input_107,5,90,125,450,83,850,3600
hog_input_108,5,90,125,450,83,850,3700
hog_input_109,5,90,125,450,83,850,3800
hog_input_110,5,90,125,450,83,850,3900
hog_input_111,5,90,125,450,83,860,3000
hog_input_112,5,90,125,450,83,860,3100
hog_input_113,5,90,125,450,83,860,3200
hog_input_114,5,90,125,450,83,860,3300
hog_input_115,5,90,125,450,83,860,3400
hog_input_116,5,90,125,450,83,860,3500
hog_input_117,5,90,125,450,83,860,3600
hog_input_118,5,90,125,450,83,860,3700
hog_input_119,5,90,125,450,83,860,3800
hog_input_120,5,90,125,450,83,860,3900
hog_input_121,5,90,125,450,83,870,3000
hog_input_122,5,90,125,450,83,870,3100
hog_input_123,5,90,125,450,83,870,3200
hog_input_124,5,90,125,450,83,870,3300
hog_input_125,5,90,125,450,83,870,3400
hog_input_126,5,90,125,450,83,870,3500
hog_input_127,5,90,125,450,83,870,3600
hog_input_128,5,90,125,450,83,870,3700
hog_input_129,5,90,125,450,83,870,3800
hog_input_130,5,90,125,450,83,870,3900
hog_input_131,5,90,125,450,83,880,3000
hog_input_132,5,90,125,450,83,880,3100
hog_input_133,5,90,125,450,83,880,3200
hog_input_134,5,90,125,450,83,880,3300
hog_input_135,5,90,125,450,83,880,3400
hog_input_136,5,90,125,450,83,880,3500
hog_input_137,5,90,125,450,83,880,3600
hog_input_138,5,90,125,450,83,880,3700
hog_input_139,5,90,125,450,83,880,3800
hog_input_140,5,90,125,450,83,880,3900
hog_input_141,5,90,125,450,83,890,3000
hog_input_142,5,90,125,450,83,890,3100
hog_input_143,5,90,125,450,83,890,3200
hog_input_144,5,90,125,450,83,890,3300
hog_input_145,5,90,125,450,83,890,3400
hog_input_146,5,90,125,450,83,890,3500
hog_input_147,5,90,125,450,83,890,3600
hog_input_148,5,90,125,450,83,890,3700
hog_input_149,5,90,125,450,83,890,3800
hog_input_150,5,90,125,450,83,890,3900
hog_input_151,5,90,125,450,83,900,3000
hog_input_152,5,90,125,450,83,900,3100
hog_input_153,5,90,125,450,83,900,3200
hog_input_154,5,90,125,450,83,900,3300
hog_input_155,5,90,125,450,83,900,3400
hog_input_156,5,90,125,450,83,900,3500
hog_input_157,5,90,125,450,83,900,3600
hog_input_158,5,90,125,450,83,900,3700
hog_input_159,5,90,125,450,83,900,3800
hog_input_160,5,90,125,450,83,900,3900
hog_input_161,5,90,125,450,83,910,3000
hog_input_162,5,90,125,450,83,910,3100
hog_input_163,5,90,125,450,83,910,3200
hog_input_164,5,90,125,450,83,910,3300
hog_input_165,5,90,125,450,83,910,3400
hog_input_166,5,90,125,450,83,910,3500
hog_input_167,5,90,125,450,83,910,3600
hog_input_168,5,90,125,450,83,910,3700
hog_input_169,5,90,125,450,83,910,3800
hog_input_170,5,90,125,450,83,910,3900
hog_input_171,5,90,125,450,83,920,3000
hog_input_172,5,90,125,450,83,920,3100
hog_input_173,5,90,125,450,83,920,3200
hog_input_174,5,90,125,450,83,920,3300
hog_input_175,5,90,125,450,83,920,3400
hog_input_176,5,90,125,450,83,920,3500
hog_input_177,5,90,125,450,83,920,3600
hog_input_178,5,90,125,450,83,920,3700
hog_input_179,5,90,125,450,83,920,3800
hog_input_180,5,90,125,450,83,920,3900
hog_input_181,5,90,125,450,83,930,3000
hog_input_182,5,90,125,450,83,930,3100
hog_input_183,5,90,125,450,83,930,3200
hog_input_184,5,90,125,450,83,930,3300
hog_input_185,5,90,125,450,83,930,3400
hog_input_186,5,90,125,450,83,930,3500
hog_input_187,5,90,125,450,83,930,3600
hog_input_188,5,90,125,450,83,930,3700
hog_input_189,5,90,125,450,83,930,3800
hog_input_190,5,90,125,450,83,930,3900
hog_input_191,5,90,125,450,83,940,3000
hog_input_192,5,90,125,450,83,940,3100
hog_input_193,5,90,125,450,83,940,3200
hog_input_194,5,90,125,450,83,940,3300
hog_input_195,5,90,125,450,83,940,3400
hog_input_196,5,90,125,450,83,940,3500
hog_input_197,5,90,125,450,83,940,3600
hog_input_198,5,90,125,450,83,940,3700
hog_input_199,5,90,125,450,83,940,3800
hog_input_200,5,90,125,450,83,940,3900
hog_input_201,5,90,125,450,86,850,3000
hog_input_202,5,90,125,450,86,850,3100
hog_input_203,5,90,125,450,86,850,3200
hog_input_204,5,90,125,450,86,850,3300
hog_input_205,5,90,125,450,86,850,3400
hog_input_206,5,90,125,450,86,850,3500
hog_input_207,5,90,125,450,86,850,3600
hog_input_208,5,90,125,450,86,850,3700
hog_input_209,5,90,125,450,86,850,3800
hog_input_210,5,90,125,450,86,850,3900
hog_input_211,5,90,125,450,86,860,3000
hog_input_212,5,90,125,450,86,860,3100
hog_input_213,5,90,125,450,86,860,3200
hog_input_214,5,90,125,450,86,860,3300
hog_input_215,5,90,125,450,86,860,3400
hog_input_216,5,90,125,450,86,860,3500
hog_input_217,5,90,125,450,86,860,3600
hog_input_218,5,90,125,450,86,860,3700
hog_input_219,5,90,125,450,86,860,3800
hog_input_220,5,90,125,450,86,860,3900
hog_input_221,5,90,125,450,86,870,3000
hog_input_222,5,90,125,450,86,870,3100
hog_input_223,5,90,125,450,86,870,3200
hog_input_224,5,90,125,450,86,870,3300
hog_input_225,5,90,125,450,86,870,3400
hog_input_226,5,90,125,450,86,870,3500
hog_input_227,5,90,125,450,86,870,3600
hog_input_228,5,90,125,450,86,870,3700
hog_input_229,5,90,125,450,86,870,3800
hog_input_230,5,90,125,450,86,870,3900
hog_input_231,5,90,125,450,86,880,3000
hog_input_232,5,90,125,450,86,880,3100
hog_input_233,5,90,125,450,86,880,3200
hog_input_234,5,90,125,450,86,880,3300
hog_input_235,5,90,125,450,86,880,3400
hog_input_236,5,90,125,450,86,880,3500
hog_input_237,5,90,125,450,86,880,3600
hog_input_238,5,90,125,450,86,880,3700
hog_input_239,5,90,125,450,86,880,3800
hog_input_240,5,90,125,450,86,880,3900
hog_input_241,5,90,125,450,86,890,3000
hog_input_242,5,90,125,450,86,890,3100
hog_input_243,5,90,125,450,86,890,3200
hog_input_244,5,90,125,450,86,890,3300
hog_input_245,5,90,125,450,86,890,3400
hog_input_246,5,90,125,450,86,890,3500
hog_input_247,5,90,125,450,86,890,3600
hog_input_248,5,90,125,450,86,890,3700
hog_input_249,5,90,125,450,86,890,3800
hog_input_250,5,90,125,450,86,890,3900
hog_input_251,5,90,125,450,86,900,3000
hog_input_252,5,90,125,450,86,900,3100
hog_input_253,5,90,125,450,86,900,3200
hog_input_254,5,90,125,450,86,900,3300
hog_input_255,5,90,125,450,86,900,3400
hog_input_256,5,90,125,450,86,900,3500
hog_input_257,5,90,125,450,86,900,3600
hog_input_258,5,90,125,450,86,900,3700
hog_input_259,5,90,125,450,86,900,3800
hog_input_260,5,90,125,450,86,900,3900
hog_input_261,5,90,125,450,86,910,3000
hog_input_262,5,90,125,450,86,910,3100
hog_input_263,5,90,125,450,86,910,3200
hog_input_264,5,90,125,450,86,910,3300
hog_input_265,5,90,125,450,86,910,3400
hog_input_266,5,90,125,450,86,910,3500
hog_input_267,5,90,125,450,86,910,3600
hog_input_268,5,90,125,450,86,910,3700
hog_input_269,5,90,125,450,86,910,3800
hog_input_270,5,90,125,450,86,910,3900
hog_input_271,5,90,125,450,86,920,3000
hog_input_272,5,90,125,450,86,920,3100
hog_input_273,5,90,125,450,86,920,3200
hog_input_274,5,90,125,450,86,920,3300
hog_input_275,5,90,125,450,86,920,3400
hog_input_276,5,90,125,450,86,920,3500
hog_input_277,5,90,125,450,86,920,3600
hog_input_278,5,90,125,450,86,920,3700
hog_input_279,5,90,125,450,86,920,3800
hog_input_280,5,90,125,450,86,920,3900
hog_input_281,5,90,125,450,86,930,3000
hog_input_282,5,90,125,450,86,930,3100
hog_input_283,5,90,125,450,86,930,3200
hog_input_284,5,90,125,450,86,930,3300
hog_input_285,5,90,125,450,86,930,3400
hog_input_286,5,90,125,450,86,930,3500
hog_input_287,5,90,125,450,86,930,3600
hog_input_288,5,90,125,450,86,930,3700
hog_input_289,5,90,125,450,86,930,3800
hog_input_290,5,90,125,450,86,930,3900
hog_input_291,5,90,125,450,86,940,3000
hog_input_292,5,90,125,450,86,940,3100
hog_input_293,5,90,125,450,86,940,3200
hog_input_294,5,90,125,450,86,940,3300
hog_input_295,5,90,125,450,86,940,3400
hog_input_296,5,90,125,450,86,940,3500
hog_input_297,5,90,125,450,86,940,3600
hog_input_298,5,90,125,450,86,940,3700
hog_input_299,5,90,125,450,86,940,3800
hog_input_300,5,90,125,450,86,940,3900
hog_input_301,5,90,125,450,89,850,3000
hog_input_302,5,90,125,450,89,850,3100
hog_input_303,5,90,125,450,89,850,3200
hog_input_304,5,90,125,450,89,850,3300
hog_input_305,5,90,125,450,89,850,3400
hog_input_306,5,90,125,450,89,850,3500
hog_input_307,5,90,125,450,89,850,3600
hog_input_308,5,90,125,450,89,850,3700
hog_input_309,5,90,125,450,89,850,3800
hog_input_310,5,90,125,450,89,850,3900
hog_input_311,5,90,125,450,89,860,3000
hog_input_312,5,90,125,450,89,860,3100
hog_input_313,5,90,125,450,89,860,3200
hog_input_314,5,90,125,450,89,860,3300
hog_input_315,5,90,125,450,89,860,3400
hog_input_316,5,90,125,450,89,860,3500
hog_input_317,5,90,125,450,89,860,3600
hog_input_318,5,90,125,450,89,860,3700
hog_input_319,5,90,125,450,89,860,3800
hog_input_320,5,90,125,450,89,860,3900
hog_input_321,5,90,125,450,89,870,3000
hog_input_322,5,90,125,450,89,870,3100
hog_input_323,5,90,125,450,89,870,3200
hog_input_324,5,90,125,450,89,870,3300
hog_input_325,5,90,125,450,89,870,3400
hog_input_326,5,90,125,450,89,870,3500
hog_input_327,5,90,125,450,89,870,3600
hog_input_328,5,90,125,450,89,870,3700
hog_input_329,5,90,125,450,89,870,3800
hog_input_330,5,90,125,450,89,870,3900
hog_input_331,5,90,125,450,89,880,3000
hog_input_332,5,90,125,450,89,880,3100
hog_input_333,5,90,125,450,89,880,3200
hog_input_334,5,90,125,450,89,880,3300
hog_input_335,5,90,125,450,89,880,3400
hog_input_336,5,90,125,450,89,880,3500
hog_input_337,5,90,125,450,89,880,3600
hog_input_338,5,90,125,450,89,880,3700
hog_input_339,5,90,125,450,89,880,3800
hog_input_340,5,90,125,450,89,880,3900
hog_input_341,5,90,125,450,89,890,3000
hog_input_342,5,90,125,450,89,890,3100
hog_input_343,5,90,125,450,89,890,3200
hog_input_344,5,90,125,450,89,890,3300
hog_input_345,5,90,125,450,89,890,3400
hog_input_346,5,90,125,450,89,890,3500
hog_input_347,5,90,125,450,89,890,3600
hog_input_348,5,90,125,450,89,890,3700
hog_input_349,5,90,125,450,89,890,3800
hog_input_350,5,90,125,450,89,890,3900
hog_input_351,5,90,125,450,89,900,3000
hog_input_352,5,90,125,450,89,900,3100
hog_input_353,5,90,125,450,89,900,3200
hog_input_354,5,90,125,450,89,900,3300
hog_input_355,5,90,125,450,89,900,3400
hog_input_356,5,90,125,450,89,900,3500
hog_input_357,5,90,125,450,89,900,3600
hog_input_358,5,90,125,450,89,900,3700
hog_input_359,5,90,125,450,89,900,3800
hog_input_360,5,90,125,450,89,900,3900
hog_input_361,5,90,125,450,89,910,3000
hog_input_362,5,90,125,450,89,910,3100
hog_input_363,5,90,125,450,89,910,3200
hog_input_364,5,90,125,450,89,910,3300
hog_input_365,5,90,125,450,89,910,3400
hog_input_366,5,90,125,450,89,910,3500
hog_input_367,5,90,125,450,89,910,3600
hog_input_368,5,90,125,450,89,910,3700
hog_input_369,5,90,125,450,89,910,3800
hog_input_370,5,90,125,450,89,910,3900
hog_input_371,5,90,125,450,89,920,3000
hog_input_372,5,90,125,450,89,920,3100
hog_input_373,5,90,125,450,89,920,3200
hog_input_374,5,90,125,450,89,920,3300
hog_input_375,5,90,125,450,89,920,3400
hog_input_376,5,90,125,450,89,920,3500
hog_input_377,5,90,125,450,89,920,3600
hog_input_378,5,90,125,450,89,920,3700
hog_input_379,5,90,125,450,89,920,3800
hog_input_380,5,90,125,450,89,920,3900
hog_input_381,5,90,125,450,89,930,3000
hog_input_382,5,90,125,450,89,930,3100
hog_input_383,5,90,125,450,89,930,3200
hog_input_384,5,90,125,450,89,930,3300
hog_input_385,5,90,125,450,89,930,3400
hog_input_386,5,90,125,450,89,930,3500
hog_input_387,5,90,125,450,89,930,3600
hog_input_388,5,90,125,450,89,930,3700
hog_input_389,5,90,125,450,89,930,3800
hog_input_390,5,90,125,450,89,930,3900
hog_input_391,5,90,125,450,89,940,3000
hog_input_392,5,90,125,450,89,940,3100
hog_input_393,5,90,125,450,89,940,3200
hog_input_394,5,90,125,450,89,940,3300
hog_input_395,5,90,125,450,89,940,3400
hog_input_396,5,90,125,450,89,940,3500
hog_input_397,5,90,125,450,89,940,3600
hog_input_398,5,90,125,450,89,940,3700
hog_input_399,5,90,125,450,89,940,3800
hog_input_400,5,90,125,450,89,940,3900
hog_input_401,5,90,125,450,92,850,3000
hog_input_402,5,90,125,450,92,850,3100
hog_input_403,5,90,125,450,92,850,3200
hog_input_404,5,90,125,450,92,850,3300
hog_input_405,5,90,125,450,92,850,3400
hog_input_406,5,90,125,450,92,850,3500
hog_input_407,5,90,125,450,92,850,3600
hog_input_408,5,90,125,450,92,850,3700
hog_input_409,5,90,125,450,92,850,3800
hog_input_410,5,90,125,450,92,850,3900
hog_input_411,5,90,125,450,92,860,3000
hog_input_412,5,90,125,450,92,860,3100
hog_input_413,5,90,125,450,92,860,3200
hog_input_414,5,90,125,450,92,860,3300
hog_input_415,5,90,125,450,92,860,3400
hog_input_416,5,90,125,450,92,860,3500
hog_input_417,5,90,125,450,92,860,3600
hog_input_418,5,90,125,450,92,860,3700
hog_input_419,5,90,125,450,92,860,3800
hog_input_420,5,90,125,450,92,860,3900
hog_input_421,5,90,125,450,92,870,3000
hog_input_422,5,90,125,450,92,870,3100
hog_input_423,5,90,125,450,92,870,3200
hog_input_424,5,90,125,450,92,870,3300
hog_input_425,5,90,125,450,92,870,3400
hog_input_426,5,90,125,450,92,870,3500
hog_input_427,5,90,125,450,92,870,3600
hog_input_428,5,90,125,450,92,870,3700
hog_input_429,5,90,125,450,92,870,3800
hog_input_430,5,90,125,450,92,870,3900
hog_input_431,5,90,125,450,92,880,3000
hog_input_432,5,90,125,450,92,880,3100
hog_input_433,5,90,125,450,92,880,3200
hog_input_434,5,90,125,450,92,880,3300
hog_input_435,5,90,125,450,92,880,3400
hog_input_436,5,90,125,450,92,880,3500
hog_input_437,5,90,125,450,92,880,3600
hog_input_438,5,90,125,450,92,880,3700
hog_input_439,5,90,125,450,92,880,3800
hog_input_440,5,90,125,450,92,880,3900
hog_input_441,5,90,125,450,92,890,3000
hog_input_442,5,90,125,450,92,890,3100
hog_input_443,5,90,125,450,92,890,3200
hog_input_444,5,90,125,450,92,890,3300
hog_input_445,5,90,125,450,92,890,3400
hog_input_446,5,90,125,450,92,890,3500
hog_input_447,5,90,125,450,92,890,3600
hog_input_448,5,90,125,450,92,890,3700
hog_input_449,5,90,125,450,92,890,3800
hog_input_450,5,90,125,450,92,890,3900
hog_input_451,5,90,125,450,92,900,3000
hog_input_452,5,90,125,450,92,900,3100
hog_input_453,5,90,125,450,92,900,3200
hog_input_454,5,90,125,450,92,900,3300
hog_input_455,5,90,125,450,92,900,3400
hog_input_456,5,90,125,450,92,900,3500
hog_input_457,5,90,125,450,92,900,3600
hog_input_458,5,90,125,450,92,900,3700
hog_input_459,5,90,125,450,92,900,3800
hog_input_460,5,90,125,450,92,900,3900
hog_input_461,5,90,125,450,92,910,3000
hog_input_462,5,90,125,450,92,910,3100
hog_input_463,5,90,125,450,92,910,3200
hog_input_464,5,90,125,450,92,910,3300
hog_input_465,5,90,125,450,92,910,3400
hog_input_466,5,90,125,450,92,910,3500
hog_input_467,5,90,125,450,92,910,3600
hog_input_468,5,90,125,450,92,910,3700
hog_input_469,5,90,125,450,92,910,3800
hog_input_470,5,90,125,450,92,910,3900
hog_input_471,5,90,125,450,92,920,3000
hog_input_472,5,90,125,450,92,920,3100
hog_input_473,5,90,125,450,92,920,3200
hog_input_474,5,90,125,450,92,920,3300
hog_input_475,5,90,125,450,92,920,3400
hog_input_476,5,90,125,450,92,920,3500
hog_input_477,5,90,125,450,92,920,3600
hog_input_478,5,90,125,450,92,920,3700
hog_input_479,5,90,125,450,92,920,3800
hog_input_480,5,90,125,450,92,920,3900
hog_input_481,5,90,125,450,92,930,3000
hog_input_482,5,90,125,450,92,930,3100
hog_input_483,5,90,125,450,92,930,3200
hog_input_484,5,90,125,450,92,930,3300
hog_input_485,5,90,125,450,92,930,3400
hog_input_486,5,90,125,450,92,930,3500
hog_input_487,5,90,125,450,92,930,3600
hog_input_488,5,90,125,450,92,930,3700
hog_input_489,5,90,125,450,92,930,3800
hog_input_490,5,90,125,450,92,930,3900
hog_input_491,5,90,125,450,92,940,3000
hog_input_492,5,90,125,450,92,940,3100
hog_input_493,5,90,125,450,92,940,3200
hog_input_494,5,90,125,450,92,940,3300
hog_input_495,5,90,125,450,92,940,3400
hog_input_496,5,90,125,450,92,940,3500
hog_input_497,5,90,125,450,92,940,3600
hog_input_498,5,90,125,450,92,940,3700
hog_input_499,5,90,125,450,92,940,3800
hog_input_500,5,90,125,450,92,940,3900
hog_input_501,5,90,125,450,95,850,3000
hog_input_502,5,90,125,450,95,850,3100
hog_input_503,5,90,125,450,95,850,3200
hog_input_504,5,90,125,450,95,850,3300
hog_input_505,5,90,125,450,95,850,3400
hog_input_506,5,90,125,450,95,850,3500
hog_input_507,5,90,125,450,95,850,3600
hog_input_508,5,90,125,450,95,850,3700
hog_input_509,5,90,125,450,95,850,3800
hog_input_510,5,90,125,450,95,850,3900
hog_input_511,5,90,125,450,95,860,3000
hog_input_512,5,90,125,450,95,860,3100
hog_input_513,5,90,125,450,95,860,3200
hog_input_514,5,90,125,450,95,860,3300
hog_input_515,5,90,125,450,95,860,3400
hog_input_516,5,90,125,450,95,860,3500
hog_input_517,5,90,125,450,95,860,3600
hog_input_518,5,90,125,450,95,860,3700
hog_input_519,5,90,125,450,95,860,3800
hog_input_520,5,90,125,450,95,860,3900
hog_input_521,5,90,125,450,95,870,3000
hog_input_522,5,90,125,450,95,870,3100
hog_input_523,5,90,125,450,95,870,3200
hog_input_524,5,90,125,450,95,870,3300
hog_input_525,5,90,125,450,95,870,3400
hog_input_526,5,90,125,450,95,870,3500
hog_input_527,5,90,125,450,95,870,3600
hog_input_528,5,90,125,450,95,870,3700
hog_input_529,5,90,125,450,95,870,3800
hog_input_530,5,90,125,450,95,870,3900
hog_input_531,5,90,125,450,95,880,3000
hog_input_532,5,90,125,450,95,880,3100
hog_input_533,5,90,125,450,95,880,3200
hog_input_534,5,90,125,450,95,880,3300
hog_input_535,5,90,125,450,95,880,3400
hog_input_536,5,90,125,450,95,880,3500
hog_input_537,5,90,125,450,95,880,3600
hog_input_538,5,90,125,450,95,880,3700
hog_input_539,5,90,125,450,95,880,3800
hog_input_540,5,90,125,450,95,880,3900
hog_input_541,5,90,125,450,95,890,3000
hog_input_542,5,90,125,450,95,890,3100
hog_input_543,5,90,125,450,95,890,3200
hog_input_544,5,90,125,450,95,890,3300
hog_input_545,5,90,125,450,95,890,3400
hog_input_546,5,90,125,450,95,890,3500
hog_input_547,5,90,125,450,95,890,3600
hog_input_548,5,90,125,450,95,890,3700
hog_input_549,5,90,125,450,95,890,3800
hog_input_550,5,90,125,450,95,890,3900
hog_input_551,5,90,125,450,95,900,3000
hog_input_552,5,90,125,450,95,900,3100
hog_input_553,5,90,125,450,95,900,3200
hog_input_554,5,90,125,450,95,900,3300
hog_input_555,5,90,125,450,95,900,3400
hog_input_556,5,90,125,450,95,900,3500
hog_input_557,5,90,125,450,95,900,3600
hog_input_558,5,90,125,450,95,900,3700
hog_input_559,5,90,125,450,95,900,3800
hog_input_560,5,90,125,450,95,900,3900
hog_input_561,5,90,125,450,95,910,3000
hog_input_562,5,90,125,450,95,910,3100
hog_input_563,5,90,125,450,95,910,3200
hog_input_564,5,90,125,450,95,910,3300
hog_input_565,5,90,125,450,95,910,3400
hog_input_566,5,90,125,450,95,910,3500
hog_input_567,5,90,125,450,95,910,3600
hog_input_568,5,90,125,450,95,910,3700
hog_input_569,5,90,125,450,95,910,3800
hog_input_570,5,90,125,450,95,910,3900
hog_input_571,5,90,125,450,95,920,3000
hog_input_572,5,90,125,450,95,920,3100
hog_input_573,5,90,125,450,95,920,3200
hog_input_574,5,90,125,450,95,920,3300
hog_input_575,5,90,125,450,95,920,3400
hog_input_576,5,90,125,450,95,920,3500
hog_input_577,5,90,125,450,95,920,3600
hog_input_578,5,90,125,450,95,920,3700
hog_input_579,5,90,125,450,95,920,3800
hog_input_580,5,90,125,450,95,920,3900
hog_input_581,5,90,125,450,95,930,3000
hog_input_582,5,90,125,450,95,930,3100
hog_input_583,5,90,125,450,95,930,3200
hog_input_584,5,90,125,450,95,930,3300
hog_input_585,5,90,125,450,95,930,3400
hog_input_586,5,90,125,450,95,930,3500
hog_input_587,5,90,125,450,95,930,3600
hog_input_588,5,90,125,450,95,930,3700
hog_input_589,5,90,125,450,95,930,3800
hog_input_590,5,90,125,450,95,930,3900
hog_input_591,5,90,125,450,95,940,3000
hog_input_592,5,90,125,450,95,940,3100
hog_input_593,5,90,125,450,95,940,3200
hog_input_594,5,90,125,450,95,940,3300
hog_input_595,5,90,125,450,95,940,3400
hog_input_596,5,90,125,450,95,940,3500
hog_input_597,5,90,125,450,95,940,3600
hog_input_598,5,90,125,450,95,940,3700
hog_input_599,5,90,125,450,95,940,3800
hog_input_600,5,90,125,450,95,940,3900
hog_input_601,5,90,125,460,80,850,3000
hog_input_602,5,90,125,460,80,850,3100
hog_input_603,5,90,125,460,80,850,3200
hog_input_604,5,90,125,460,80,850,3300
hog_input_605,5,90,125,460,80,850,3400
hog_input_606,5,90,125,460,80,850,3500
hog_input_607,5,90,125,460,80,850,3600
hog_input_608,5,90,125,460,80,850,3700
hog_input_609,5,90,125,460,80,850,3800
hog_input_610,5,90,125,460,80,850,3900
hog_input_611,5,90,125,460,80,860,3000
hog_input_612,5,90,125,460,80,860,3100
hog_input_613,5,90,125,460,80,860,3200
hog_input_614,5,90,125,460,80,860,3300
hog_input_615,5,90,125,460,80,860,3400
hog_input_616,5,90,125,460,80,860,3500
hog_input_617,5,90,125,460,80,860,3600
hog_input_618,5,90,125,460,80,860,3700
hog_input_619,5,90,125,460,80,860,3800
hog_input_620,5,90,125,460,80,860,3900
hog_input_621,5,90,125,460,80,870,3000
hog_input_622,5,90,125,460,80,870,3100
hog_input_623,5,90,125,460,80,870,3200
hog_input_624,5,90,125,460,80,870,3300
hog_input_625,5,90,125,460,80,870,3400
hog_input_626,5,90,125,460,80,870,3500
hog_input_627,5,90,125,460,80,870,3600
hog_input_628,5,90,125,460,80,870,3700
hog_input_629,5,90,125,460,80,870,3800
hog_input_630,5,90,125,460,80,870,3900
hog_input_631,5,90,125,460,80,880,3000
hog_input_632,5,90,125,460,80,880,3100
